Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,DTI_Ratio
37,50061.0,24300.0,424.0,16,Male,Bachelors,San Francisco,Self-Employed,0,0.4853981063481283
45,61898.0,17984.0,487.0,20,Female,PhD,Houston,Self-Employed,0,0.2905378115963101
64,49752.0,16962.0,555.0,15,Female,Masters,New York,Salaried,0,0.3409241653769622
24,53781.0,16268.0,829.0,25,Male,High School,Chicago,Salaried,1,0.3024803837715221
61,44358.0,1395.0,691.0,8,Male,Bachelors,New York,Self-Employed,1,0.03144795870060191
25,76238.0,12265.0,767.0,1,Female,Masters,Chicago,Salaried,1,0.16087566730938233
64,34726.0,29453.0,552.0,14,Male,High School,New York,Self-Employed,0,0.8481296973536442
52,39511.0,15685.0,475.0,34,Male,High School,San Francisco,Salaried,0,0.3969680097185665
31,42615.0,4796.0,765.0,23,Female,Masters,Houston,Self-Employed,1,0.11253989112070584
34,58141.0,11936.0,588.0,37,Female,PhD,New York,Self-Employed,0,0.20529049568298305
53,34417.0,22879.0,349.0,13,Male,High School,San Francisco,Unemployed,0,0.6647393805566855
67,49488.0,22720.0,303.0,36,Male,Bachelors,New York,Salaried,0,0.45909191941643596
57,52474.0,17646.0,799.0,36,Female,High School,San Francisco,Self-Employed,1,0.33627441638875655
21,39585.0,14486.0,522.0,5,Female,PhD,Chicago,Self-Employed,0,0.36593745263476984
19,54950.0,8782.0,561.0,17,Female,Bachelors,San Francisco,Salaried,0,0.15981510800531382
23,34883.0,22945.0,834.0,21,Male,Unknown,New York,Salaried,0,0.6577514046554295
59,33244.0,26703.0,675.0,17,Male,Bachelors,Houston,Salaried,0,0.8032185291021207
21,51494.0,30311.0,360.0,1,Male,Masters,Chicago,Unemployed,0,0.5886202543936304
46,25104.0,11115.0,655.0,31,Female,High School,Chicago,Salaried,0,0.4427404899422426
35,17828.0,30924.0,323.0,16,Male,PhD,San Francisco,Unemployed,0,1.734477536597678
43,57992.0,19547.0,592.0,0,Female,Masters,New York,Salaried,0,0.33705792078354285
61,65735.0,20213.0,655.0,8,Male,Masters,San Francisco,Unemployed,0,0.30748752586101985
51,42998.0,27149.0,328.0,12,Female,Bachelors,Chicago,Salaried,0,0.6313867764366613
27,39979.0,15672.0,656.0,35,Male,Masters,Houston,Unemployed,0,0.3919959979989995
53,65083.0,2690.0,664.0,36,Female,High School,San Francisco,Self-Employed,1,0.04133120275336488
31,32817.0,25639.0,708.0,29,Female,Masters,New York,Unemployed,0,0.7812480955573161
48,29549.0,22789.0,565.0,30,Female,Masters,San Francisco,Unemployed,0,0.7712013536379019
65,60615.0,17118.0,590.0,22,Female,Bachelors,San Francisco,Self-Employed,1,0.28240068628744885
32,50136.0,24980.0,452.0,27,Male,Bachelors,San Francisco,Salaried,0,0.4982348365478589
25,65973.0,26616.0,518.0,9,Female,Masters,Houston,Self-Employed,0,0.40343165489435234
31,17896.0,7904.0,472.0,24,Male,Bachelors,New York,Self-Employed,0,0.4416382633960999
40,28990.0,20180.0,311.0,35,Male,Unknown,New York,Self-Employed,0,0.6960780932013384
57,50215.0,1779.0,815.0,25,Female,PhD,Chicago,Unemployed,0,0.03542695555201529
38,56265.0,19010.0,661.0,25,Female,PhD,Chicago,Self-Employed,1,0.3378594533110582
33,62705.0,17018.0,776.0,12,Male,Masters,San Francisco,Salaried,1,0.2713934870666284
62,52622.0,23935.0,381.0,16,Male,High School,Chicago,Unemployed,0,0.45483913877962107
35,52470.0,11416.0,639.0,39,Male,High School,New York,Unemployed,0,0.21756779935583465
64,44159.0,16628.0,740.0,3,Male,Bachelors,San Francisco,Self-Employed,1,0.3765398550724638
41,73864.0,0.0,525.0,22,Male,High School,Chicago,Unemployed,0,0.0
43,33455.0,24460.0,670.0,34,Male,High School,Houston,Salaried,0,0.7311095169775227
42,55385.0,19293.0,327.0,10,Male,Masters,Chicago,Unemployed,0,0.3483371249052107
62,35183.0,20698.0,315.0,11,Female,Bachelors,Houston,Self-Employed,0,0.5882787630741246
58,58022.0,8053.0,576.0,8,Male,High School,Chicago,Self-Employed,0,0.1387897902555883
46,34445.0,23184.0,632.0,14,Male,PhD,New York,Self-Employed,0,0.6730534750043546
32,61157.0,33222.0,782.0,36,Female,Bachelors,Chicago,Unemployed,0,0.543215932502698
62,51682.0,18521.0,587.0,4,Male,Unknown,Houston,Self-Employed,0,0.3583576804752046
18,76170.0,25201.0,413.0,18,Male,Bachelors,Houston,Unemployed,0,0.3308476979427866
42,45785.0,13035.0,337.0,10,Female,PhD,Chicago,Self-Employed,0,0.28469401126982047
24,56374.0,19385.0,753.0,8,Male,High School,San Francisco,Self-Employed,1,0.3438580931263858
26,38305.0,7749.0,465.0,34,Male,PhD,Houston,Self-Employed,0,0.20229206912755182
41,45682.0,26305.0,504.0,26,Female,Bachelors,New York,Salaried,0,0.5758159490401243
18,51586.0,21279.0,544.0,12,Female,Bachelors,Chicago,Salaried,0,0.4124876422354469
61,27092.0,10246.0,632.0,11,Male,Masters,Houston,Self-Employed,0,0.378178865389584
25,28736.0,13585.0,695.0,8,Female,Unknown,Chicago,Self-Employed,0,0.47273549779030516
41,58998.0,20489.0,579.0,27,Female,Masters,Chicago,Unemployed,0,0.34727707249275414
28,47809.0,27391.0,420.0,12,Male,Masters,San Francisco,Unemployed,0,0.572913616398243
68,41106.0,31836.0,558.0,19,Female,Bachelors,Chicago,Salaried,0,0.7744666358527744
34,38945.0,18927.0,709.0,12,Female,PhD,Chicago,Unemployed,0,0.48598058850716375
25,39523.0,9083.0,609.0,26,Male,Masters,Chicago,Unemployed,0,0.22980973585669467
52,51688.0,21908.0,367.0,25,Male,PhD,New York,Unemployed,0,0.4238425970709435
52,56676.0,34279.0,413.0,28,Female,Masters,Chicago,Unemployed,0,0.6048132399385995
50,18618.0,7018.0,519.0,28,Female,High School,New York,Salaried,0,0.3769267952091949
22,71193.0,12363.0,519.0,21,Male,Masters,Chicago,Salaried,0,0.17365227406803943
59,70126.0,24888.0,772.0,8,Male,Unknown,San Francisco,Unemployed,0,0.3548989690133615
56,15040.0,21229.0,685.0,23,Female,Masters,San Francisco,Unemployed,0,1.4114088159031979
58,66289.0,15640.0,597.0,18,Male,High School,Houston,Salaried,0,0.23593302157188112
45,65828.0,21761.0,552.0,37,Male,PhD,Chicago,Self-Employed,0,0.3305685943884914
24,50007.0,27820.0,704.0,30,Female,PhD,San Francisco,Unemployed,0,0.5563109902415614
26,30542.0,19213.0,791.0,38,Female,PhD,San Francisco,Self-Employed,0,0.6290475722751531
25,65228.0,18512.0,656.0,14,Male,Bachelors,Chicago,Unemployed,0,0.28380015023992394
29,46382.0,24712.0,727.0,31,Male,PhD,Houston,Salaried,1,0.532781406981006
51,58233.0,17836.0,514.0,28,Female,Bachelors,New York,Unemployed,0,0.30628155373149707
50,83288.0,29140.0,679.0,33,Male,High School,San Francisco,Self-Employed,1,0.3498661287805112
65,53778.0,36214.0,513.0,8,Female,PhD,San Francisco,Salaried,0,0.6733855222298667
40,49488.0,12856.0,397.0,34,Male,PhD,New York,Unemployed,0,0.25977489947261007
41,44964.0,10000.0,827.0,5,Male,PhD,San Francisco,Unemployed,0,0.2223951962637607
54,38158.0,22974.0,827.0,36,Male,High School,New York,Salaried,0,0.6020598024057234
52,56502.0,9716.0,834.0,13,Female,Bachelors,New York,Unemployed,0,0.1719554713908996
61,37909.0,9579.0,848.0,8,Female,Masters,Houston,Salaried,0,0.25267739382748616
57,49488.0,3606.0,627.0,18,Male,High School,New York,Unemployed,0,0.07286467699892905
39,30734.0,16942.0,464.0,22,Male,High School,New York,Salaried,0,0.5512282414185782
44,48019.0,19736.0,415.0,27,Female,High School,New York,Unemployed,0,0.4109954185755935
52,52651.0,15861.0,449.0,15,Female,Bachelors,New York,Salaried,0,0.3012421180581934
18,9728.0,31123.0,817.0,25,Male,Bachelors,San Francisco,Salaried,0,3.198992702230445
52,53894.0,30527.0,331.0,37,Female,Bachelors,New York,Unemployed,0,0.566416179608498
54,49314.0,35431.0,592.0,39,Female,Bachelors,San Francisco,Salaried,0,0.7184629423096421
64,38525.0,20372.0,476.0,24,Male,Bachelors,Chicago,Unemployed,0,0.5287857550744951
31,80429.0,29471.0,360.0,34,Male,PhD,Chicago,Unemployed,0,0.36641800323262463
20,64377.0,22471.0,715.0,4,Female,Masters,New York,Unemployed,0,0.3490478113641306
18,33554.0,21667.0,579.0,6,Female,Masters,Houston,Salaried,0,0.6457159886753092
22,62574.0,16261.0,306.0,22,Male,Bachelors,Houston,Unemployed,0,0.25986416300439474
43,68667.0,1895.0,384.0,24,Female,Bachelors,San Francisco,Salaried,0,0.027596551523271392
31,51980.0,25098.0,697.0,0,Male,PhD,San Francisco,Self-Employed,1,0.48283026490448433
56,55422.0,29233.0,692.0,21,Male,Bachelors,Chicago,Self-Employed,1,0.5274525016689822
44,49488.0,7795.0,346.0,3,Female,PhD,San Francisco,Self-Employed,0,0.15750974964133443
26,18713.0,19922.0,640.0,27,Male,PhD,Houston,Unemployed,0,1.0645506038260126
32,47197.0,27933.0,579.0,13,Male,High School,Chicago,Salaried,0,0.5918259248273232
32,46416.0,17124.0,777.0,32,Male,High School,New York,Unemployed,0,0.3689165607428313
43,71452.0,29545.0,725.0,3,Male,Bachelors,San Francisco,Salaried,1,0.41348858690327905
59,55006.0,18878.0,725.0,10,Male,PhD,New York,Self-Employed,1,0.3431926845674187
30,45536.0,15799.0,814.0,38,Female,Bachelors,San Francisco,Self-Employed,1,0.3469486351757911
68,48648.0,30002.0,428.0,31,Male,High School,Houston,Self-Employed,0,0.616703323809328
49,65351.0,12530.0,548.0,3,Male,High School,San Francisco,Unemployed,0,0.19173093401885175
56,47231.0,14201.0,430.0,0,Male,High School,Houston,Unemployed,0,0.3006648035230352
66,39527.0,12836.0,622.0,25,Female,High School,Houston,Salaried,0,0.3247318356607974
69,45864.0,10859.0,842.0,32,Male,High School,New York,Salaried,1,0.2367600566881064
49,64110.0,21224.0,365.0,16,Male,Bachelors,San Francisco,Self-Employed,0,0.3310508337102837
21,57442.0,15897.0,400.0,26,Male,Bachelors,New York,Unemployed,0,0.2767439026513239
47,50664.0,23909.0,330.0,4,Male,High School,Houston,Unemployed,0,0.47190368104213953
54,52873.0,6123.0,490.0,6,Female,Bachelors,Houston,Salaried,0,0.11580360857888565
40,41604.0,11020.0,714.0,24,Female,High School,Houston,Salaried,1,0.26487201057565196
56,47091.0,20413.0,799.0,7,Male,High School,Houston,Unemployed,0,0.4334706531895014
62,40050.0,31757.0,345.0,33,Female,Unknown,Chicago,Unemployed,0,0.7929140346058775
32,45578.0,23028.0,388.0,3,Female,Bachelors,Houston,Salaried,0,0.5052326729414862
60,70193.0,15285.0,674.0,11,Female,Bachelors,San Francisco,Unemployed,0,0.21775365415847509
46,33832.0,8084.0,545.0,30,Male,PhD,Houston,Unemployed,0,0.23893831466319865
53,39669.0,14817.0,556.0,10,Male,Bachelors,Chicago,Self-Employed,0,0.3735064280312579
30,31186.0,19660.0,651.0,36,Male,Bachelors,San Francisco,Unemployed,0,0.6303908679898675
49,27936.0,1138.0,579.0,35,Male,Masters,Chicago,Unemployed,0,0.04073450978988438
24,47198.0,10293.0,636.0,21,Male,High School,Chicago,Unemployed,0,0.21807665416640182
68,40736.0,14100.0,825.0,0,Male,High School,San Francisco,Salaried,1,0.34612268944694013
39,76425.0,17941.0,600.0,3,Female,Bachelors,Chicago,Self-Employed,0,0.2347499542040667
45,45757.0,19565.0,376.0,35,Female,Bachelors,Houston,Salaried,0,0.42757550592246163
19,69341.0,15113.0,810.0,7,Female,PhD,New York,Self-Employed,1,0.21794871794871795
59,64520.0,24047.0,529.0,24,Female,Masters,New York,Self-Employed,0,0.37270036112273525
62,46866.0,20998.0,331.0,27,Female,High School,New York,Unemployed,0,0.44803379776815244
23,81652.0,17039.0,357.0,37,Male,High School,San Francisco,Self-Employed,0,0.20867573757241006
45,54028.0,25150.0,403.0,35,Male,Bachelors,San Francisco,Self-Employed,0,0.46549075496492626
45,72695.0,24496.0,611.0,35,Female,Bachelors,San Francisco,Unemployed,0,0.3369648949048091
61,70949.0,8370.0,366.0,3,Male,Masters,New York,Unemployed,0,0.11797040169133192
61,56220.0,19744.0,673.0,12,Male,High School,New York,Self-Employed,1,0.3511855000800413
37,61267.0,27122.0,534.0,37,Male,Masters,San Francisco,Salaried,0,0.44267807011816934
47,59361.0,28460.0,411.0,24,Male,High School,New York,Self-Employed,0,0.4794312860078838
28,32836.0,22967.0,688.0,2,Male,Bachelors,Chicago,Salaried,0,0.6994244297591132
45,50859.0,18134.0,707.0,31,Female,Masters,Chicago,Salaried,1,0.356547384978372
42,66114.0,23371.0,579.0,38,Female,PhD,New York,Self-Employed,0,0.3534901308326401
56,72893.0,26462.0,538.0,0,Female,Bachelors,San Francisco,Salaried,0,0.3630202760172305
50,39190.0,20927.0,594.0,10,Male,PhD,Houston,Self-Employed,0,0.5339746370340129
18,49488.0,21829.0,411.0,1,Male,PhD,Houston,Salaried,0,0.4410879185273495
44,49488.0,18002.0,387.0,4,Male,PhD,New York,Salaried,0,0.3637576026995898
69,48232.0,9306.0,775.0,21,Male,High School,Houston,Self-Employed,1,0.1929384446333423
30,55340.0,18605.0,603.0,12,Female,PhD,San Francisco,Unemployed,0,0.3361883594441734
58,49488.0,14583.0,604.0,22,Male,High School,Chicago,Unemployed,0,0.29467154317120975
20,58121.0,14609.0,589.0,30,Female,Masters,Chicago,Self-Employed,0,0.2513506073431747
56,71626.0,31471.0,507.0,34,Female,Bachelors,San Francisco,Self-Employed,0,0.4393734206374691
23,61762.0,27612.0,669.0,37,Female,High School,Houston,Unemployed,0,0.447063776047148
25,54659.0,6452.0,519.0,34,Female,High School,New York,Unemployed,0,0.11803878521770948
44,77969.0,11321.0,530.0,12,Male,Masters,Chicago,Salaried,0,0.14519687059125305
26,66649.0,17092.0,648.0,6,Male,Masters,Houston,Salaried,1,0.25644411102775694
54,48614.0,14875.0,554.0,4,Female,Bachelors,Houston,Salaried,0,0.30597552195824335
50,31743.0,22539.0,751.0,28,Male,Masters,Chicago,Unemployed,0,0.7100239415322581
68,35183.0,10051.0,441.0,7,Male,High School,Chicago,Self-Employed,0,0.28566962255570716
59,63998.0,27668.0,368.0,7,Male,Bachelors,New York,Salaried,0,0.4323192549883592
61,40545.0,19648.0,388.0,6,Female,Bachelors,San Francisco,Self-Employed,0,0.4845854091648991
41,34879.0,17276.0,435.0,18,Female,Bachelors,Houston,Unemployed,0,0.49529816513761465
32,38629.0,19885.0,822.0,38,Female,PhD,New York,Salaried,0,0.5147553714729485
49,39689.0,16660.0,741.0,22,Female,PhD,Chicago,Unemployed,0,0.41975308641975306
49,62760.0,3755.0,337.0,35,Female,High School,San Francisco,Self-Employed,0,0.05983014929653766
41,47649.0,20095.0,507.0,31,Female,PhD,San Francisco,Salaried,0,0.4217208814270724
58,29414.0,17434.0,509.0,3,Female,Masters,Houston,Self-Employed,0,0.5926908040115587
69,50466.0,12364.0,812.0,29,Male,Bachelors,San Francisco,Self-Employed,1,0.24499177680464462
66,53334.0,28779.0,659.0,38,Female,High School,Chicago,Salaried,1,0.5395893878316302
66,42810.0,25356.0,300.0,4,Male,Masters,Chicago,Salaried,1,0.5922776856415407
69,67338.0,39511.0,680.0,2,Female,Bachelors,Chicago,Unemployed,0,0.5867476499502517
29,43686.0,26679.0,836.0,21,Male,Masters,New York,Salaried,1,0.6106851008309108
56,66625.0,14853.0,693.0,27,Male,PhD,Chicago,Salaried,0,0.2229309879026206
19,58952.0,12754.0,349.0,21,Male,Masters,New York,Salaried,0,0.21634183162858547
20,63899.0,16046.0,695.0,21,Male,PhD,Chicago,Salaried,1,0.2511111111111111
66,33522.0,14667.0,331.0,33,Female,Unknown,Chicago,Salaried,0,0.43752050830772904
54,51475.0,20870.0,844.0,28,Female,High School,San Francisco,Unemployed,0,0.405431657471443
66,49208.0,7690.0,533.0,12,Female,PhD,Houston,Self-Employed,0,0.15627222662521084
34,28670.0,25178.0,325.0,6,Female,PhD,Chicago,Unemployed,0,0.8781695790171253
66,66576.0,20730.0,733.0,9,Female,Bachelors,San Francisco,Self-Employed,1,0.31136879102392717
19,37739.0,24260.0,360.0,27,Female,Unknown,San Francisco,Salaried,0,0.6428192898781134
19,40856.0,10847.0,740.0,3,Female,Bachelors,Houston,Unemployed,0,0.2654869422620359
45,34800.0,21974.0,429.0,31,Female,PhD,San Francisco,Self-Employed,0,0.6314186373954771
40,60518.0,30393.0,653.0,21,Female,PhD,San Francisco,Self-Employed,1,0.5022059188023595
54,27111.0,13116.0,497.0,19,Female,PhD,Houston,Salaried,0,0.4837710239008557
49,59268.0,12897.0,670.0,19,Female,Unknown,New York,Salaried,1,0.21760110681806677
50,65668.0,25696.0,446.0,5,Male,Bachelors,Houston,Self-Employed,0,0.39129574076048057
18,58058.0,12248.0,797.0,8,Male,High School,Houston,Unemployed,0,0.21095781877056097
36,60689.0,18134.0,347.0,27,Male,Masters,Chicago,Self-Employed,0,0.2987971659251936
19,61393.0,31806.0,471.0,12,Male,PhD,Chicago,Unemployed,0,0.5180636544287716
61,35759.0,13011.0,614.0,30,Male,PhD,New York,Unemployed,0,0.36384228187919465
43,71521.0,32356.0,675.0,38,Female,High School,Houston,Self-Employed,1,0.4523922709096502
49,43099.0,17314.0,832.0,13,Female,Bachelors,Houston,Unemployed,0,0.4017169373549884
23,49004.0,11030.0,719.0,21,Male,Masters,New York,Self-Employed,1,0.22507907356392204
49,45010.0,24830.0,695.0,36,Female,High School,Chicago,Self-Employed,1,0.5516429317277999
21,57373.0,20862.0,821.0,23,Male,High School,Houston,Salaried,1,0.363614180639314
28,41929.0,20105.0,486.0,7,Female,High School,New York,Self-Employed,0,0.4794896255664202
34,51004.0,13850.0,332.0,14,Female,High School,Chicago,Self-Employed,0,0.27154200568571707
55,31470.0,20804.0,368.0,5,Male,PhD,San Francisco,Salaried,0,0.6610530329509707
41,67470.0,3459.0,490.0,22,Male,Masters,New York,Salaried,0,0.05126647003897971
22,60061.0,21750.0,400.0,24,Male,PhD,New York,Unemployed,0,0.36212580333655225
69,45616.0,30378.0,784.0,30,Female,High School,Houston,Unemployed,0,0.6659359449328102
51,42963.0,5877.0,584.0,28,Male,Masters,San Francisco,Salaried,0,0.13678893957732055
23,59669.0,16746.0,689.0,22,Female,High School,Chicago,Salaried,1,0.2806435394670689
39,39391.0,13003.0,459.0,9,Female,Bachelors,San Francisco,Salaried,1,0.330092404549147
28,51880.0,7912.0,346.0,8,Female,High School,Houston,Self-Employed,0,0.15250284304465989
65,67421.0,3577.0,458.0,12,Female,High School,Houston,Self-Employed,0,0.053053899320696506
33,37831.0,10553.0,745.0,31,Male,Bachelors,Chicago,Self-Employed,0,0.27894375132163246
50,49488.0,18061.0,822.0,0,Male,PhD,Chicago,Salaried,1,0.36494978682131385
26,54736.0,29193.0,454.0,0,Male,Unknown,Chicago,Unemployed,0,0.5333321153881286
23,48540.0,7818.0,638.0,36,Male,High School,Houston,Unemployed,0,0.16105972270863805
33,42443.0,22355.0,664.0,39,Female,High School,Chicago,Self-Employed,1,0.526693996795778
46,68222.0,21757.0,447.0,17,Male,Bachelors,Chicago,Self-Employed,0,0.318910044999487
20,41036.0,33376.0,443.0,35,Male,Masters,Chicago,Salaried,0,0.813314813461023
37,22819.0,24568.0,402.0,30,Male,Bachelors,New York,Salaried,0,1.0765994741454865
53,49488.0,25029.0,392.0,0,Male,High School,Chicago,Unemployed,0,0.5057487522479743
36,31980.0,25594.0,585.0,35,Female,PhD,Houston,Unemployed,0,0.8002876708045402
43,60378.0,12606.0,723.0,8,Female,Unknown,New York,Salaried,1,0.2087811987611587
20,70024.0,15417.0,418.0,21,Female,Masters,Houston,Unemployed,0,0.22016422706176367
36,59446.0,28935.0,328.0,27,Female,High School,San Francisco,Unemployed,0,0.4867360842431073
37,66071.0,3594.0,810.0,25,Male,Bachelors,New York,Self-Employed,1,0.05439520523065747
49,80301.0,14542.0,329.0,9,Female,High School,Chicago,Salaried,0,0.1810913800403477
24,64501.0,9354.0,665.0,2,Male,Bachelors,New York,Salaried,1,0.14501875910824472
69,54959.0,21874.0,437.0,1,Male,Bachelors,Houston,Salaried,0,0.3979985443959243
58,74509.0,16627.0,774.0,36,Male,Masters,New York,Self-Employed,1,0.22315125486511878
50,76322.0,25008.0,691.0,30,Male,Bachelors,San Francisco,Salaried,1,0.3276600762548642
57,76532.0,19128.0,734.0,32,Female,Masters,Chicago,Unemployed,0,0.24993140214025322
56,42618.0,7631.0,533.0,31,Female,PhD,Chicago,Self-Employed,0,0.17905159670569465
35,29690.0,8001.0,354.0,11,Male,Masters,San Francisco,Self-Employed,0,0.26947559866626253
57,41702.0,19952.0,591.0,2,Female,Masters,Houston,Salaried,0,0.47843080833513174
18,60555.0,13831.0,611.0,25,Female,Masters,New York,Unemployed,0,0.22840015853094656
28,52387.0,15739.0,847.0,13,Male,Unknown,Houston,Salaried,1,0.300431396503016
45,46903.0,27507.0,388.0,11,Male,Masters,Houston,Unemployed,0,0.5864531809653761
42,58407.0,26072.0,511.0,25,Female,Bachelors,Houston,Salaried,0,0.44637720860156144
67,27938.0,34382.0,617.0,15,Male,Bachelors,Chicago,Unemployed,0,1.2306095422169727
40,52118.0,17469.0,764.0,7,Female,Masters,New York,Unemployed,0,0.33517527197375235
48,66777.0,14871.0,386.0,27,Male,Bachelors,Chicago,Unemployed,0,0.22269310251879362
47,58240.0,23346.0,708.0,6,Male,Masters,Chicago,Self-Employed,1,0.4008516337288165
59,60377.0,15514.0,539.0,14,Male,PhD,Chicago,Salaried,0,0.25694789492861636
52,73961.0,15776.0,356.0,35,Male,Bachelors,New York,Salaried,0,0.21329872096481978
24,49008.0,18383.0,412.0,7,Female,Masters,San Francisco,Salaried,0,0.37509437042175925
33,40204.0,33222.0,369.0,9,Female,High School,Chicago,Self-Employed,0,0.826315134933466
43,67843.0,25632.0,579.0,14,Female,PhD,Chicago,Unemployed,0,0.37780791226932375
65,67567.0,26471.0,575.0,17,Female,High School,Chicago,Self-Employed,0,0.39176829268292684
69,58374.0,32863.0,532.0,36,Male,Masters,New York,Self-Employed,0,0.5629635974304068
66,47594.0,27220.0,353.0,34,Male,Bachelors,New York,Unemployed,0,0.5719088139510453
19,50021.0,10949.0,556.0,1,Female,Masters,Houston,Salaried,0,0.2188836911758826
18,30848.0,27099.0,389.0,21,Female,Bachelors,Chicago,Self-Employed,0,0.8784401439268696
65,66694.0,28114.0,579.0,14,Female,Masters,Chicago,Unemployed,0,0.4215308493890097
